Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 58.23     49.91    49.91     1250     0.04     0.07  PsCourseworkI::Landscape::Update()
 21.13     68.02    18.11 4806406416     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int)
 16.36     82.04    14.02 511439120     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long)
  1.94     83.70     1.67        2     0.83     0.84  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&)
  1.83     85.27     1.57        2     0.79     1.63  PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size)
  0.14     85.39     0.12  8320000     0.00     0.00  PsCourseworkI::PpmFile::WritePixel(PsCourseworkI::Pixel const&)
  0.13     85.50     0.11       13     0.01     0.03  PsCourseworkI::LandscapePpmWriter::Write(std::string const&)
  0.08     85.57     0.07  8320000     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) const
  0.05     85.61     0.04        1     0.04     0.06  PsCourseworkI::Landscape::ApplyRandomHares(double)
  0.02     85.63     0.02  8320000     0.00     0.00  PsCourseworkI::Pixel::Pixel(unsigned char, unsigned char, unsigned char)
  0.02     85.65     0.02  8320000     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) const
  0.02     85.67     0.02  1280000     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::operator()(unsigned int, unsigned int) const
  0.02     85.69     0.02        1     0.02     0.04  PsCourseworkI::Landscape::ApplyRandomPumas(double)
  0.01     85.70     0.01  1286408     0.00     0.00  void std::_Construct<PsCourseworkI::Cell, PsCourseworkI::Cell>(PsCourseworkI::Cell*, PsCourseworkI::Cell const&)
  0.01     85.71     0.01        2     0.01     0.01  void std::__uninitialized_fill_n<false>::uninitialized_fill_n<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&)
  0.01     85.72     0.01        1     0.01     0.01  global constructors keyed to _ZN13PsCourseworkI18LandscapePpmWriterC2ERNS_9LandscapeE
  0.01     85.73     0.01        1     0.01     0.01  PsCourseworkI::Array2D<unsigned int>::Resize(PsCourseworkI::Size const&)
  0.01     85.74     0.01        1     0.01     0.02  PsCourseworkI::BmpFile::BmpFile(std::string)
