Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 42.44      3.53     3.53     1250     2.82     6.18  PsCourseworkI::Landscape::Update()
 27.17      5.79     2.26 300401616     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int)
 10.82      6.69     0.90 300401616     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long)
  3.37      6.97     0.28 50000000     0.00     0.00  PsCourseworkI::AppConfig::Getb() const
  3.01      7.22     0.25     1251     0.20     0.20  PsCourseworkI::AppConfig::GetTT() const
  2.40      7.42     0.20 50000000     0.00     0.00  PsCourseworkI::AppConfig::Getr() const
  2.40      7.62     0.20        2   100.03   140.05  PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size)
  2.04      7.79     0.17 100001250     0.00     0.00  PsCourseworkI::AppConfig::Getdt() const
  2.04      7.96     0.17 50000000     0.00     0.00  PsCourseworkI::AppConfig::Geta() const
  1.32      8.07     0.11 50000000     0.00     0.00  PsCourseworkI::AppConfig::Getl() const
  0.96      8.15     0.08        2    40.01    40.01  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&)
  0.72      8.21     0.06 50000000     0.00     0.00  PsCourseworkI::AppConfig::Getm() const
  0.60      8.26     0.05 50000000     0.00     0.00  PsCourseworkI::AppConfig::Getk() const
  0.48      8.30     0.04        3    13.34    13.34  PsCourseworkI::AppConfig::GetNy() const
  0.24      8.32     0.02       25     0.80     0.80  PsCourseworkI::LandscapePpmWriter::Write(std::string const&)
  0.00      8.32     0.00  1000000     0.00     0.00  PsCourseworkI::Pixel::Pixel(unsigned char, unsigned char, unsigned char)
  0.00      8.32     0.00  1000000     0.00     0.00  PsCourseworkI::PpmFile::WritePixel(PsCourseworkI::Pixel const&)
  0.00      8.32     0.00  1000000     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) const
  0.00      8.32     0.00  1000000     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) const
  0.00      8.32     0.00    81608     0.00     0.00  void std::_Construct<PsCourseworkI::Cell, PsCourseworkI::Cell>(PsCourseworkI::Cell*, PsCourseworkI::Cell const&)
  0.00      8.32     0.00    81608     0.00     0.00  operator new(unsigned long, void*)
  0.00      8.32     0.00    80000     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::operator()(unsigned int, unsigned int) const
  0.00      8.32     0.00    80000     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  0.00      8.32     0.00    40000     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::operator()(unsigned int, unsigned int)
  0.00      8.32     0.00    40000     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  0.00      8.32     0.00     1250     0.00     0.00  PsCourseworkI::AppConfig::GetT() const
  0.00      8.32     0.00       66     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      8.32     0.00       61     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      8.32     0.00       44     0.00     0.00  PsCourseworkI::AppConfig::RemoveComment(std::string&)
  0.00      8.32     0.00       30     0.00     0.00  PsCourseworkI::Size::Size(unsigned int, unsigned int)
  0.00      8.32     0.00       27     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::GetSize() const
  0.00      8.32     0.00       25     0.00     0.00  PsCourseworkI::PpmFile::Finalise()
  0.00      8.32     0.00       25     0.00     0.00  PsCourseworkI::PpmFile::PpmFile(std::string const&, PsCourseworkI::Size const&, unsigned int)
  0.00      8.32     0.00       25     0.00     0.00  PsCourseworkI::PpmFile::~PpmFile()
  0.00      8.32     0.00       25     0.00     0.00  PsCourseworkI::Landscape::GetArray() const
  0.00      8.32     0.00        7     0.00     0.00  PsCourseworkI::AppConfig::StringToDouble(std::string const&)
  0.00      8.32     0.00        7     0.00     0.00  std::__niter_base<unsigned int*, false>::__b(unsigned int*)
  0.00      8.32     0.00        6     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      8.32     0.00        6     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      8.32     0.00        4     0.00     0.00  PsCourseworkI::AppConfig::StringToInt(std::string const&)
  0.00      8.32     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<PsCourseworkI::Cell>::~new_allocator()
  0.00      8.32     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.00      8.32     0.00        4     0.00     0.00  std::allocator<PsCourseworkI::Cell>::~allocator()
  0.00      8.32     0.00        4     0.00     0.00  std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_M_get_Tp_allocator()
  0.00      8.32     0.00        4     0.00     0.00  std::__miter_base<unsigned int*, false>::__b(unsigned int*)
  0.00      8.32     0.00        3     0.00     0.00  PsCourseworkI::AppConfig::GetNx() const
  0.00      8.32     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::max_size() const
  0.00      8.32     0.00        3     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      8.32     0.00        3     0.00     0.00  void std::_Destroy<unsigned int*>(unsigned int*, unsigned int*)
  0.00      8.32     0.00        3     0.00     0.00  void std::_Destroy<unsigned int*, unsigned int>(unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      8.32     0.00        2     0.00     0.00  PsCourseworkI::Cell::Cell()
  0.00      8.32     0.00        2     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::~Array2D()
  0.00      8.32     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<PsCourseworkI::Cell>::deallocate(PsCourseworkI::Cell*, unsigned long)
  0.00      8.32     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<PsCourseworkI::Cell>::allocate(unsigned long, void const*)
  0.00      8.32     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<PsCourseworkI::Cell>::new_allocator(__gnu_cxx::new_allocator<PsCourseworkI::Cell> const&)
  0.00      8.32     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<PsCourseworkI::Cell>::new_allocator()
  0.00      8.32     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
  0.00      8.32     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<PsCourseworkI::Cell>::max_size() const
  0.00      8.32     0.00        2     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      8.32     0.00        2     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::max_size() const
  0.00      8.32     0.00        2     0.00     0.00  std::allocator<PsCourseworkI::Cell>::allocator()
  0.00      8.32     0.00        2     0.00     0.00  std::allocator<PsCourseworkI::Cell>::allocator(std::allocator<PsCourseworkI::Cell> const&)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int>(unsigned int const*, unsigned int const*, unsigned int*)
  0.00      8.32     0.00        2     0.00     0.00  void std::_Destroy_aux<true>::__destroy<PsCourseworkI::Cell*>(PsCourseworkI::Cell*, PsCourseworkI::Cell*)
  0.00      8.32     0.00        2     0.00     0.00  std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_M_allocate(unsigned long)
  0.00      8.32     0.00        2     0.00     0.00  std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_Vector_impl::_Vector_impl(std::allocator<PsCourseworkI::Cell> const&)
  0.00      8.32     0.00        2     0.00     0.00  std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_Vector_impl::~_Vector_impl()
  0.00      8.32     0.00        2     0.00     0.00  std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_M_deallocate(PsCourseworkI::Cell*, unsigned long)
  0.00      8.32     0.00        2     0.00     0.00  std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_Vector_base(unsigned long, std::allocator<PsCourseworkI::Cell> const&)
  0.00      8.32     0.00        2     0.00     0.00  std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::~_Vector_base()
  0.00      8.32     0.00        2     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate(unsigned int*, unsigned long)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_copy<true>::uninitialized_copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      8.32     0.00        2     0.00     0.00  void std::__uninitialized_fill_n<false>::uninitialized_fill_n<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&)
  0.00      8.32     0.00        2     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_M_fill_initialize(unsigned long, PsCourseworkI::Cell const&)
  0.00      8.32     0.00        2     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::~vector()
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::__copy_move_a<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::__copy_move_a2<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::uninitialized_copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      8.32     0.00        2     0.00     0.00  void std::uninitialized_fill_n<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_copy_a<unsigned int*, unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_move_a<unsigned int*, unsigned int*, std::allocator<unsigned int> >(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00      8.32     0.00        2     0.00     0.00  void std::__uninitialized_fill_n_a<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell>&)
  0.00      8.32     0.00        2     0.00     0.00  unsigned int* std::copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00      8.32     0.00        2     0.00     0.00  void std::_Destroy<PsCourseworkI::Cell*>(PsCourseworkI::Cell*, PsCourseworkI::Cell*)
  0.00      8.32     0.00        2     0.00     0.00  void std::_Destroy<PsCourseworkI::Cell*, PsCourseworkI::Cell>(PsCourseworkI::Cell*, PsCourseworkI::Cell*, std::allocator<PsCourseworkI::Cell>&)
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI18LandscapePpmWriterC2ERNS_9LandscapeE
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI4CellC2Ev
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7AppArgsC2EiPPc
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7BmpFileC2ESs
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7PpmFileC2ERKSsRKNS_4SizeEj
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI9AppConfigC2ERKSs
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI9LandscapeC2ERKNS_9AppConfigE
  0.00      8.32     0.00        1     0.00     0.00  global constructors keyed to main
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      8.32     0.00        1     0.00     0.00  PsCourseworkI::LandscapePpmWriter::LandscapePpmWriter(PsCourseworkI::Landscape&)
