Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 48.54     59.65    59.65     1250     0.05     0.09  PsCourseworkI::Landscape::Update()
 17.45     81.10    21.45 4806406416     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int)
 12.34     96.27    15.17 511439120     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long)
  4.64    101.97     5.70 1600001250     0.00     0.00  PsCourseworkI::AppConfig::Getdt() const
  2.82    105.44     3.47 800000000     0.00     0.00  PsCourseworkI::AppConfig::Getb() const
  2.78    108.85     3.41        2     1.71     2.65  PsCourseworkI::Array2D<PsCourseworkI::Cell>::Array2D(PsCourseworkI::Size)
  2.21    111.57     2.72 800000000     0.00     0.00  PsCourseworkI::AppConfig::Getr() const
  1.79    113.78     2.21 800000000     0.00     0.00  PsCourseworkI::AppConfig::Getl() const
  1.64    115.80     2.02 800000000     0.00     0.00  PsCourseworkI::AppConfig::Geta() const
  1.50    117.64     1.85        2     0.92     0.94  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::vector(unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell> const&)
  1.44    119.41     1.77 800000000     0.00     0.00  PsCourseworkI::AppConfig::Getm() const
  1.35    121.07     1.66 800000000     0.00     0.00  PsCourseworkI::AppConfig::Getk() const
  1.01    122.31     1.24     1251     0.00     0.00  PsCourseworkI::AppConfig::GetTT() const
  0.25    122.62     0.31        3     0.10     0.10  PsCourseworkI::AppConfig::GetNy() const
  0.07    122.71     0.09       13     0.01     0.02  PsCourseworkI::LandscapePpmWriter::Write(std::string const&)
  0.04    122.76     0.06  8320000     0.00     0.00  PsCourseworkI::Pixel::Pixel(unsigned char, unsigned char, unsigned char)
  0.04    122.81     0.05  8320000     0.00     0.00  PsCourseworkI::PpmFile::WritePixel(PsCourseworkI::Pixel const&)
  0.02    122.84     0.03        1     0.03     0.05  PsCourseworkI::Landscape::ApplyRandomHares()
  0.02    122.86     0.02        2     0.01     0.02  void std::__uninitialized_fill_n<false>::uninitialized_fill_n<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&)
  0.02    122.88     0.02        1     0.02     0.04  PsCourseworkI::Landscape::ApplyRandomPumas()
  0.01    122.89     0.01  8320000     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) const
  0.01    122.90     0.01  1286408     0.00     0.00  void std::_Construct<PsCourseworkI::Cell, PsCourseworkI::Cell>(PsCourseworkI::Cell*, PsCourseworkI::Cell const&)
  0.01    122.91     0.01  1286408     0.00     0.00  operator new(unsigned long, void*)
  0.01    122.92     0.01  1280000     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::operator()(unsigned int, unsigned int) const
  0.01    122.93     0.01  1280000     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  0.01    122.94     0.01       13     0.00     0.00  PsCourseworkI::PpmFile::PpmFile(std::string const&, PsCourseworkI::Size const&, unsigned int)
  0.00    122.95     0.01        1     0.01     0.01  global constructors keyed to _ZN13PsCourseworkI18LandscapePpmWriterC2ERNS_9LandscapeE
  0.00    122.95     0.00  8320000     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) const
  0.00    122.95     0.00   640000     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::operator()(unsigned int, unsigned int)
  0.00    122.95     0.00   640000     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  0.00    122.95     0.00     1250     0.00     0.00  PsCourseworkI::AppConfig::GetT() const
  0.00    122.95     0.00       66     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00    122.95     0.00       44     0.00     0.00  PsCourseworkI::AppConfig::RemoveComment(std::string&)
  0.00    122.95     0.00       37     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00    122.95     0.00       18     0.00     0.00  PsCourseworkI::Size::Size(unsigned int, unsigned int)
  0.00    122.95     0.00       15     0.00     0.00  PsCourseworkI::Array2D<PsCourseworkI::Cell>::GetSize() const
  0.00    122.95     0.00       13     0.00     0.00  PsCourseworkI::PpmFile::Finalise()
